date,seeds,seed_values,winners,winner_values,sum_min,sum_max,td_min,td_max,hot_sum_td_cands,hot_sum_td_hits,hot_sum_td_of,cold_sum_td_cands,cold_sum_td_hits,cold_sum_td_of,hot_all_cands,hot_all_hits,hot_all_of,cold_all_cands,cold_all_hits,cold_all_of,hot_sum_cold_2dp_cands,hot_sum_cold_2dp_hits,hot_sum_cold_2dp_of,all_digits_hot_sum_td_cands,all_digits_hot_sum_td_hits,all_digits_hot_sum_td_of
2026-01-12,10,3017|5782|5988|1979|6411,0245|0688,4520|8086,10,30,22,60,481,1,2,271,1,2,128,1,2,49,1,2,132,1,2,481,1,2
2026-01-13,10,4520|8086|3017|5782|5988,0016|2779,0016|9727,10,30,18,60,535,1,2,179,0,2,128,0,2,22,0,2,152,0,2,535,1,2
2026-01-14,10,0016|9727|4520|8086|3017,0334|2234,0343|4223,7,30,18,60,550,2,2,184,0,2,128,0,2,34,0,2,151,0,2,550,2,2
2026-01-15,10,0343|4223|0016|9727|4520,0468|0022,4806|0220,7,30,18,60,550,1,2,184,1,2,134,1,2,37,0,2,151,1,2,550,1,2
2026-01-16,10,4806|0220|0343|4223|0016,0359|2568,5903|6825,4,25,16,60,545,2,2,148,0,2,127,0,2,11,0,2,131,1,2,545,2,2
2026-01-17,10,5903|6825|4806|0220|0343,5678|0357,6587|0375,4,25,16,60,545,2,2,148,0,2,129,1,2,11,0,2,126,1,2,545,2,2
2026-01-18,10,6587|0375|5903|6825|4806,1289|1699,8219|9169,4,26,16,54,540,2,2,151,0,2,132,0,2,10,0,2,134,0,2,540,2,2
2026-01-19,10,8219|9169|6587|0375|5903,4778|2334,4877|3432,4,26,16,54,540,2,2,151,0,2,143,0,2,21,0,2,112,1,2,540,2,2
2026-01-20,10,4877|3432|8219|9169|6587,1146|0138,1416|1038,4,26,16,54,540,2,2,151,0,2,111,0,2,22,0,2,123,0,2,540,2,2
2026-01-21,10,1416|1038|4877|3432|8219,2258|0018,2258|0801,12,26,18,54,481,1,2,168,0,2,118,0,2,19,0,2,135,0,2,481,1,2
2026-01-22,10,2258|0801|1416|1038|4877,0349|4489,4309|4498,9,26,18,51,494,2,2,175,0,2,109,0,2,19,0,2,135,0,2,494,2,2
2026-01-23,10,4309|4498|2258|0801|1416,2334|3366,3432|6633,9,26,18,52,502,1,2,175,1,2,131,1,2,18,0,2,115,0,2,502,1,2
2026-01-24,10,3432|6633|4309|4498|2258,0558|2369,8055|2639,9,26,14,52,531,2,2,128,0,2,114,1,2,18,0,2,135,1,2,531,2,2
2026-01-25,10,8055|2639|3432|6633|4309,1229|4689,9221|9846,9,25,14,52,354,2,2,99,0,2,107,0,2,20,0,2,112,1,2,521,2,2
2026-01-26,10,9221|9846|8055|2639|3432,1668|1238,6816|1283,9,27,14,52,363,1,2,103,0,2,92,0,2,6,0,2,103,1,2,539,1,2
2026-01-27,10,6816|1283|9221|9846|8055,1459|1346,5914|4631,12,27,14,58,344,2,2,97,0,2,104,1,2,5,0,2,100,0,2,527,2,2
2026-01-28,10,5914|4631|6816|1283|9221,0025|0159,0502|0951,12,27,14,58,344,1,2,97,0,2,107,1,2,6,0,2,99,1,2,527,1,2
2026-01-29,10,0502|0951|5914|4631|6816,0256|3466,6250|4663,7,27,21,58,328,2,2,181,0,2,92,1,2,23,0,2,121,1,2,496,2,2
2026-01-30,10,6250|4663|0502|0951|5914,2779|4446,9727|4446,7,27,21,58,328,0,2,181,1,2,110,0,2,27,0,2,117,0,2,496,1,2
2026-01-31,10,9727|4446|6250|4663|0502,3558|0268,8355|0286,7,25,7,58,629,2,2,99,0,2,147,0,2,14,0,2,131,0,2,629,2,2
2026-02-01,10,8355|0286|9727|4446|6250,0122|0036,2021|6003,7,25,7,58,629,2,2,99,0,2,145,1,2,16,0,2,130,0,2,629,2,2
2026-02-02,10,2021|6003|8355|0286|9727,2445|0199,4245|1099,5,25,7,58,636,2,2,100,0,2,131,0,2,5,0,2,138,0,2,636,2,2
2026-02-03,10,4245|1099|2021|6003|8355,1256|2568,2165|2856,5,25,7,47,586,1,2,100,0,2,122,1,2,12,0,2,120,1,2,586,1,2
2026-02-04,10,2165|2856|4245|1099|2021,0139|1378,0319|3817,5,25,7,54,624,1,2,100,0,2,126,0,2,13,0,2,120,0,2,624,1,2
2026-02-05,10,0319|3817|2165|2856|4245,2289|1245,8292|4125,5,21,21,59,422,2,2,214,1,2,128,1,2,22,0,2,100,1,2,422,2,2
2026-02-06,10,8292|4125|0319|3817|2165,4467|0168,4647|1860,5,21,19,59,442,2,2,172,0,2,126,1,2,11,0,2,67,1,2,442,2,2
2026-02-07,10,4647|1860|8292|4125|0319,1335|1129,5133|1219,12,21,19,59,405,2,2,161,0,2,104,0,2,10,0,2,77,0,2,405,2,2
2026-02-08,10,5133|1219|4647|1860|8292,3668|2379,8663|3729,12,21,19,59,405,2,2,161,0,2,101,0,2,10,0,2,77,1,2,405,2,2
2026-02-09,10,8663|3729|5133|1219|4647,2268|1239,6282|3291,12,23,19,59,445,2,2,172,0,2,122,2,2,28,0,2,109,1,2,445,2,2
2026-02-10,10,6282|3291|8663|3729|5133,3577|2458,7537|5428,12,23,19,56,438,2,2,172,0,2,106,0,2,17,0,2,100,0,2,438,2,2
2026-02-11,10,7537|5428|6282|3291|8663,1238|1288,8312|8821,12,23,20,52,416,1,2,185,0,2,122,0,2,34,0,2,115,0,2,416,1,2
2026-02-12,10,8312|8821|7537|5428|6282,2789|1279,2897|1792,12,23,20,58,289,1,2,144,0,2,87,1,2,40,0,2,79,0,2,435,1,2
2026-02-13,10,2897|1792|8312|8821|7537,2667|3458,2766|4358,14,26,22,58,298,2,2,194,1,2,82,0,2,43,0,2,101,0,2,414,2,2
2026-02-14,10,2766|4358|2897|1792|8312,0023|2579,0023|9527,14,26,20,58,313,1,2,152,0,2,83,1,2,31,0,2,114,0,2,435,1,2
2026-02-15,10,0023|9527|2766|4358|2897,2479|0169,7294|0169,5,26,20,58,507,2,2,209,0,2,119,1,2,36,0,2,132,0,2,507,2,2
2026-02-16,10,7294|0169|0023|9527|2766,1568|5789,5618|5978,5,26,20,58,507,1,2,209,0,2,118,0,2,23,0,2,132,0,2,507,1,2
2026-02-17,10,5618|5978|7294|0169|0023,0578|2789,7058|8927,5,29,20,58,521,2,2,214,0,2,125,1,2,21,0,2,147,1,2,521,2,2
2026-02-18,10,7058|8927|5618|5978|7294,3556|1288,5635|8821,5,29,20,54,509,2,2,214,0,2,124,0,2,21,0,2,147,0,2,509,2,2
2026-02-19,10,5635|8821|7058|8927|5618,0557|0136,5075|6031,5,29,22,48,451,1,2,276,0,2,103,0,2,52,0,2,149,1,2,451,1,2
